orig,1,None,5480.156
orig,2,None,4141.625
orig,4,None,3426.25
orig,6,None,3099.778
orig,8,None,2853.959
orig,10,None,2698.824
orig,12,None,2539.227
orig,14,None,2548.597
orig,16,None,2540.53
orig,18,None,2509.825
orig,20,None,2479.87
orig,22,None,2369.031
orig,24,None,2385.378
orig,26,None,2304.711
orig,28,None,2268.829
orig,30,None,2252.329
orig,32,None,2182.998
orig,34,None,2240.513
orig,36,None,2106.31
orig,38,None,2146.916
orig,40,None,2130.714
orig,42,None,2101.87
orig,44,None,2125.19
orig,46,None,2126.281
orig,48,None,2133.168
orig,50,None,2207.952
orig,52,None,2237.05
orig,54,None,2221.519
orig,56,None,2298.21
orig,58,None,2366.219
orig,60,None,2454.799
orig,62,None,2502.835
orig,64,None,2666.728
txact,1,1,13700.88
txact,1,2,14964.548
txact,1,4,16905.815
txact,1,6,18211.217
txact,1,8,18396.052
txact,1,10,17651.699
txact,1,12,17855.959
txact,1,14,17534.841
txact,1,16,16505.997
txact,1,18,15930.557
txact,1,20,15733.765
txact,1,22,15585.946
txact,1,24,15908.381
txact,1,26,15879.005
txact,1,28,15437.188
txact,1,30,15698.887
txact,1,32,15484.133
txact,1,34,15561.703
txact,1,36,15239.865
txact,1,38,15173.82
txact,1,40,15240.667
txact,1,42,15788.99
txact,1,44,15925.881
txact,1,46,15403.013
txact,1,48,16444.758
txact,1,50,15411.719
txact,1,52,15702.27
txact,1,54,15949.667
txact,1,56,15865.435
txact,1,58,15112.179
txact,1,60,15651.673
txact,1,62,15879.8
txact,1,64,15752.655
txact,2,1,6332.357
txact,2,2,7061.846
txact,2,4,8424.866
txact,2,6,9123.453
txact,2,8,9325.119
txact,2,10,9424.576
txact,2,12,9471.169
txact,2,14,9455.949
txact,2,16,9510.48
txact,2,18,9551.203
txact,2,20,9551.242
txact,2,22,9425.49
txact,2,24,9310.318
txact,2,26,9330.953
txact,2,28,9342.015
txact,2,30,9294.063
txact,2,32,9235.233
txact,2,34,9102.163
txact,2,36,9140.694
txact,2,38,9088.594
txact,2,40,9013.125
txact,2,42,8964.66
txact,2,44,8950.097
txact,2,46,8905.248
txact,2,48,8823.298
txact,2,50,8706.03
txact,2,52,8855.062
txact,2,54,8776.994
txact,2,56,8841.396
txact,2,58,8734.319
txact,2,60,8841.745
txact,2,62,8744.282
txact,2,64,8863.097
txact,4,1,3026.529
txact,4,2,3451.443
txact,4,4,4019.849
txact,4,6,4292.062
txact,4,8,4520.832
txact,4,10,4599.198
txact,4,12,4685.209
txact,4,14,4724.108
txact,4,16,4763.08
txact,4,18,4770.508
txact,4,20,4812.825
txact,4,22,4795.665
txact,4,24,4804.862
txact,4,26,4811.82
txact,4,28,4819.986
txact,4,30,4829.616
txact,4,32,4771.31
txact,4,34,4771.692
txact,4,36,4783.903
txact,4,38,4762.442
txact,4,40,4766.834
txact,4,42,4786.532
txact,4,44,4808.741
txact,4,46,4801.3
txact,4,48,4797.0
txact,4,50,4781.519
txact,4,52,4806.567
txact,4,54,4799.844
txact,4,56,4792.66
txact,4,58,4810.396
txact,4,60,4807.006
txact,4,62,4803.721
txact,4,64,4797.36
txact,6,1,1988.416
txact,6,2,2453.135
txact,6,4,2738.21
txact,6,6,2868.911
txact,6,8,2942.209
txact,6,10,2974.036
txact,6,12,3067.808
txact,6,14,3121.165
txact,6,16,3118.608
txact,6,18,3165.986
txact,6,20,3194.435
txact,6,22,3185.567
txact,6,24,3211.858
txact,6,26,3240.769
txact,6,28,3201.165
txact,6,30,3160.86
txact,6,32,3156.724
txact,6,34,3183.947
txact,6,36,3176.476
txact,6,38,3172.83
txact,6,40,3169.51
txact,6,42,3198.64
txact,6,44,3178.877
txact,6,46,3193.319
txact,6,48,3210.823
txact,6,50,3219.994
txact,6,52,3217.157
txact,6,54,3205.04
txact,6,56,3210.445
txact,6,58,3203.929
txact,6,60,3198.2
txact,6,62,3214.573
txact,6,64,3210.931
txact,8,1,1402.869
txact,8,2,1882.985
txact,8,4,1987.005
txact,8,6,2076.077
txact,8,8,2235.674
txact,8,10,2281.966
txact,8,12,2242.54
txact,8,14,2329.767
txact,8,16,2358.371
txact,8,18,2365.989
txact,8,20,2393.637
txact,8,22,2401.161
txact,8,24,2408.019
txact,8,26,2408.473
txact,8,28,2342.176
txact,8,30,2321.234
txact,8,32,2355.731
txact,8,34,2359.913
txact,8,36,2371.386
txact,8,38,2374.925
txact,8,40,2389.669
txact,8,42,2412.265
txact,8,44,2384.176
txact,8,46,2381.487
txact,8,48,2390.204
txact,8,50,2377.802
txact,8,52,2396.517
txact,8,54,2415.577
txact,8,56,2397.38
txact,8,58,2395.601
txact,8,60,2417.345
txact,8,62,2405.966
txact,8,64,2409.295
txact,10,1,1077.562
txact,10,2,1384.367
txact,10,4,1623.972
txact,10,6,1728.731
txact,10,8,1808.392
txact,10,10,1804.564
txact,10,12,1832.694
txact,10,14,1858.98
txact,10,16,1905.916
txact,10,18,1884.352
txact,10,20,1907.295
txact,10,22,1928.502
txact,10,24,1962.821
txact,10,26,1865.901
txact,10,28,1878.77
txact,10,30,1879.54
txact,10,32,1887.746
txact,10,34,1898.329
txact,10,36,1883.463
txact,10,38,1892.884
txact,10,40,1894.421
txact,10,42,1914.172
txact,10,44,1913.667
txact,10,46,1901.298
txact,10,48,1909.068
txact,10,50,1915.992
txact,10,52,1918.089
txact,10,54,1921.288
txact,10,56,1923.036
txact,10,58,1886.016
txact,10,60,1918.793
txact,10,62,1909.655
txact,10,64,1923.522
txact,12,1,895.706
txact,12,2,1137.433
